Client ID: 5f4057c3-f02a-4924-b37b-aed0a2f94687, Operation: insert, Position: 0, Data: a
Client ID: 30ed389c-9ead-44c7-86a1-3277430c4ba9, Operation: insert, Position: 0, Data: f
Client ID: 30ed389c-9ead-44c7-86a1-3277430c4ba9, Operation: insert, Position: 1, Data: u
Client ID: 30ed389c-9ead-44c7-86a1-3277430c4ba9, Operation: insert, Position: 2, Data: c
Client ID: 30ed389c-9ead-44c7-86a1-3277430c4ba9, Operation: insert, Position: 3, Data: k
Client ID: 5f4057c3-f02a-4924-b37b-aed0a2f94687, Operation: insert, Position: 7, Data: b
Client ID: 5f4057c3-f02a-4924-b37b-aed0a2f94687, Operation: insert, Position: 8, Data: u
Client ID: 5f4057c3-f02a-4924-b37b-aed0a2f94687, Operation: insert, Position: 9, Data: t
Client ID: 5f4057c3-f02a-4924-b37b-aed0a2f94687, Operation: insert, Position: 10, Data: h
Client ID: 5f4057c3-f02a-4924-b37b-aed0a2f94687, Operation: insert, Position: 11, Data: o
Client ID: 5f4057c3-f02a-4924-b37b-aed0a2f94687, Operation: insert, Position: 12, Data: w
Client ID: 30ed389c-9ead-44c7-86a1-3277430c4ba9, Operation: delete, Position: 3, Data: k
Client ID: dfee2b58-0136-4a62-b98c-e090e0391883, Operation: insert, Position: 0, Data: a
Client ID: dfee2b58-0136-4a62-b98c-e090e0391883, Operation: insert, Position: 1, Data: b
Client ID: dfee2b58-0136-4a62-b98c-e090e0391883, Operation: insert, Position: 2, Data: c
Client ID: dfee2b58-0136-4a62-b98c-e090e0391883, Operation: insert, Position: 3, Data: d
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 6, Data: i
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 7, Data: s
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 8, Data: g
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 9, Data: o
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 10, Data: o
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 11, Data: d
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 12, Data: m
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 13, Data: o
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 14, Data: r
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 15, Data: n
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 16, Data: i
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 17, Data: n
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: insert, Position: 18, Data: g
Client ID: 04f90e87-d47e-49a9-b77a-9ba9caa18221, Operation: delete, Position: 18, Data: g
Client ID: dfee2b58-0136-4a62-b98c-e090e0391883, Operation: delete, Position: 3, Data: d
Client ID: dfee2b58-0136-4a62-b98c-e090e0391883, Operation: delete, Position: 2, Data: c
Client ID: dfee2b58-0136-4a62-b98c-e090e0391883, Operation: delete, Position: 1, Data: b
Client ID: dfee2b58-0136-4a62-b98c-e090e0391883, Operation: delete, Position: 0, Data: a
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 0, Data: h
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 1, Data: e
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 2, Data: l
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 3, Data: l
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 4, Data: o
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 5, Data: f
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 6, Data: u
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 7, Data: c
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 8, Data: k
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 9, Data: y
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 10, Data: o
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 11, Data: u
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 12, Data: r
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 13, Data: s
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 14, Data: e
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 15, Data: l
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 16, Data: f
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 4, Data: o
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 3, Data: l
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 2, Data: l
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 1, Data: e
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 0, Data: h
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 13, Data: m
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 12, Data: g
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 12, Data: j
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 13, Data: h
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 14, Data: d
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 15, Data: b
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 16, Data: b
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 17, Data: d
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 18, Data: b
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 19, Data: b
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 20, Data: c
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 21, Data: b
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 22, Data: d
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 23, Data: s
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 24, Data: b
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 25, Data: c
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 26, Data: k
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 27, Data: b
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 28, Data: j
